SampleID,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,Total C,Total S,LOI,Sum,Ba,Cu,Pb,Zn,Ag,Au,As,Sb,Bi,Cd,Hg,Tl,Se,V,Ni,Co,Sc,Rb,Sr,Cs,Sn,W,Mo,Ga,Be,U,Hf,Ta,Th,Nb,Y,Zr,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Wgt,Affinity,Group,Total_BM
73J1571,74.24,0.05,14.03,1.55,0.04,0.16,1.45,4.84,1.55,0.048,<0.002,0.19,<0.02,1.9,99.89,475,14.5,2.9,33,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,<8,2.4,1.3,<1,35.3,121.1,0.4,2,<0.5,0.3,18.1,1,0.9,2.4,0.8,3.4,6.4,6.7,46.4,12.7,25.5,2.6,9.9,1.8,0.4,1.4,0.2,1.3,0.2,0.6,0.1,0.6,0.1,0.4,ALK,Rhyolite ,50.4
97-BRB-563,62.96,0.106,21.65,1.14,<0.01,0.12,0.11,6.77,5.63,0.027,<0.002,0.06,<0.02,1.2,99.75,863,8.2,8.1,9,<0.1,<0.5,<0.5,<0.1,0.1,<0.1,<0.01,<0.1,<0.5,42,0.6,1.1,<1,130.7,687.6,0.3,<1,1.8,0.2,23.8,4,3.4,3.7,0.2,13.8,4.7,4.7,174,23.8,44.8,4.3,14.2,1.9,0.5,1.1,0.2,0.7,0.1,0.5,0.1,0.5,0.1,1,ALK,Rhyolite ,25.3
LKS064,69.31,0.105,15.72,0.99,0.01,0.13,0.74,5.29,6.01,0.073,<0.002,0.15,0.3,1.2,99.56,2033,2.1,11.2,32,<0.1,27.4,1.3,<0.1,<0.1,<0.1,0.01,<0.1,<0.5,10,2.8,2.2,<1,57.7,1461.1,0.5,<1,9.2,1,23.4,1,4.4,3.6,0.2,5.6,4.6,4.5,107.4,7.9,22.3,3.1,13.1,2.5,0.7,1.7,0.2,0.8,0.1,0.3,0.1,0.3,0.1,0.3,ALK,Rhyolite ,45.3
LKS068,71.2,0.079,14.4,1.38,0.02,0.22,0.56,4.79,5.68,0.019,<0.002,0.19,0.65,1.3,99.64,2254,7,41,15,1.3,10673.6,<0.5,<0.1,0.2,<0.1,0.15,<0.1,<0.5,<8,2.8,1.9,<1,55.4,574.2,0.4,<1,6.9,9.3,20,1,2.3,3.1,0.3,5.1,3.6,5,89.4,3.8,12,1.8,8.1,1.7,0.4,1.2,0.2,0.9,0.2,0.4,0.1,0.4,0.1,0.3,ALK,Rhyolite ,63
92J0737,75.99,0.098,13.31,1.86,0.03,0.24,0.95,3.96,2.05,0.033,<0.002,0.15,<0.02,1.4,99.9,355,6,3.4,23,<0.1,1.6,<0.5,<0.1,<0.1,0.2,<0.01,<0.1,<0.5,<8,1.1,1.9,2,61.5,48.7,1.5,2,<0.5,0.3,17.6,<1,1,3.8,0.6,4.5,4.7,9.2,113.6,18.9,36.6,3.8,12.9,2.2,0.5,1.8,0.3,1.6,0.3,1,0.2,1,0.2,0.4,ALK,Rhyolite ,32.4
KL2036 39FT,69.29,0.182,15.59,1.69,0.04,0.58,1.56,5.31,4.31,0.096,0.003,0.12,0.03,1,99.62,1726,2,9.9,29,<0.1,1.6,<0.5,<0.1,0.3,<0.1,<0.01,<0.1,<0.5,27,3.2,2.5,2,126.4,1023.9,5,<1,1.1,0.2,17,3,3.8,4,0.5,9.7,7.4,6.6,129.5,29.9,58.2,6,21.3,3.4,0.9,2.1,0.3,1.3,0.2,0.5,0.1,0.5,0.1,0.6,ALK,Rhyolite ,40.9
92J0361,74.55,0.196,14.16,2.35,0.01,0.34,0.29,3.86,2.58,0.039,<0.002,0.05,0.03,1.5,99.84,677,40,0.9,13,<0.1,34.4,0.7,<0.1,0.3,<0.1,<0.01,<0.1,<0.5,13,0.9,2.5,5,75.5,50,0.8,2,4,0.5,17,<1,1.4,6.3,0.7,6.1,6.7,16.1,221,21.9,49.6,4.8,17.1,3.1,0.6,2.9,0.5,2.6,0.5,1.6,0.3,1.7,0.3,0.4,ALK,Rhyolite ,53.9
KL0823 13FT,68.03,0.221,15.62,1.98,0.04,0.61,1.75,5.31,4.46,0.1,0.002,0.22,0.11,1.5,99.65,1456,2.3,7.7,31,<0.1,38.4,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,0.7,16,4.5,3.2,3,116.4,917.7,2.2,<1,2.5,0.2,18.2,3,3.6,5,0.4,12.5,7.9,8.1,168.8,41.2,80.4,8.3,30,4.5,1.1,2.8,0.4,1.5,0.2,0.7,0.1,0.6,0.1,0.5,ALK,Rhyolite ,41
HD-09-30 15.5M,58.88,0.263,18.52,3.02,0.07,0.92,1.59,5.28,7.26,0.114,0.004,0.51,1.78,3.6,99.51,2023,57.1,15.2,13,0.7,386.4,4.5,0.3,0.1,<0.1,0.04,<0.1,1.5,90,11.5,5.8,3,118.5,1136,0.7,<1,10.3,24,18.8,3,6.3,5,0.5,20.3,10.2,16.9,234,48.8,105.8,11.3,41.2,6.2,1.6,4.2,0.6,2.8,0.5,1.5,0.3,1.8,0.2,0.4,ALK,Rhyolite ,85.3
92J0518,72.19,0.193,13.55,2.3,0.05,0.32,1.9,4.17,2.08,0.042,0.003,0.6,0.18,3.1,99.87,480,10.8,10.3,39,1,61.7,0.8,0.7,0.1,0.4,<0.01,<0.1,<0.5,15,0.9,2.1,4,64.3,110.2,0.8,2,2,0.7,16.5,1,1.7,5.6,0.7,6.4,7,18.9,197.1,24,49.9,5.4,18.9,3.6,0.9,3.5,0.6,3,0.7,1.9,0.3,1.9,0.3,0.8,ALK,Rhyolite ,60.1
KL0629 19FT,65.47,0.214,14.9,2.26,0.05,1.3,2.32,6.05,2.93,0.145,0.008,0.86,0.05,4,99.6,2653,2.3,9.2,12,<0.1,<0.5,0.6,0.2,0.1,<0.1,<0.01,<0.1,<0.5,27,9.4,4.3,4,69.1,681.7,2.5,1,<0.5,0.2,17.4,3,3.5,3.9,0.3,6,7.3,10,124.5,29.5,59.7,7.3,29.1,4.8,1.3,3.3,0.4,2,0.3,0.8,0.1,0.8,0.1,0.4,ALK,Rhyolite ,23.5
92J0586,74.27,0.214,13.45,2.74,0.03,0.22,0.71,4.45,1.88,0.046,<0.002,0.19,0.38,1.9,99.88,381,6,2.7,21,0.1,235.3,<0.5,0.2,0.1,<0.1,<0.01,<0.1,<0.5,11,1.1,2.2,4,58.2,80.4,1.1,1,4.6,1.6,15.2,<1,1.4,5,0.7,5.7,6.4,17.6,182.5,22.6,46.7,5,18.1,3.6,0.8,3.3,0.5,2.9,0.6,1.8,0.3,1.8,0.3,0.3,ALK,Rhyolite ,29.7
83J0266,70.79,0.202,12.49,4.21,0.06,1.01,7.53,1.45,0.29,0.071,0.005,0.07,0.47,1.8,99.9,46,101,3.4,59,0.1,2,0.6,<0.1,<0.1,0.1,<0.01,<0.1,<0.5,19,12.1,9.2,3,6.9,168.1,0.3,2,<0.5,3.4,17.7,<1,0.6,3.6,0.6,2.3,6.4,5.2,129.8,17.1,36.8,3.7,13.3,2.1,0.9,1.6,0.2,1.1,0.2,0.5,0.1,0.5,0.1,0.5,ALK,Rhyolite ,163.4
92J0526,74.14,0.238,13.83,2.02,0.03,0.28,0.81,5.34,1.5,0.063,<0.002,0.17,0.33,1.6,99.88,348,3,4.2,10,0.4,642.2,<0.5,0.4,0.1,<0.1,<0.01,<0.1,<0.5,13,1.2,1.5,5,42.6,94.3,0.6,2,9.9,0.6,15.1,<1,1.7,6.1,0.8,7,6.9,21.9,204.6,25.6,52.5,5.9,21.5,4,0.9,3.9,0.6,3.7,0.8,2.2,0.3,2.2,0.4,0.7,ALK,Rhyolite ,17.2
92J0501,79.94,0.148,8.48,1.97,0.03,0.27,1.87,4.37,0.33,0.037,0.004,0.54,0.65,2.5,99.91,119,22.5,70.8,22,20,3.9,4.3,20.8,0.2,0.2,<0.01,<0.1,0.7,<8,1.4,3.4,3,17.3,140.8,2.9,6,7.7,0.4,7,<1,0.9,3,0.7,3.5,4.4,11.8,109.5,14.6,29.8,3.3,12,2.3,0.6,2.1,0.4,1.9,0.4,1.1,0.2,1.1,0.2,1.1,ALK,Rhyolite ,115.3
TI0145,69.08,0.276,13.68,2.81,0.06,1.71,2.79,0.78,3.53,0.064,<0.002,0.8,<0.02,5.1,99.89,362,13.4,4.4,39,<0.1,<0.5,4.3,<0.1,0.1,<0.1,<0.01,<0.1,<0.5,11,2.9,6.4,5,84.1,35,2.9,2,<0.5,1.9,15,<1,1.3,4.5,0.7,5.1,7.2,18.6,163.5,22.5,49.2,5,18.7,3.3,0.7,3.2,0.6,3,0.7,1.9,0.3,2,0.3,0.4,ALK,Rhyolite ,56.8
TI0437,64.37,0.18,18.67,1.72,0.03,0.95,0.44,6.59,5.68,0.122,<0.002,<0.02,0.04,1.1,99.86,644,31.7,3.6,28,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,28,4.8,4.7,2,117.4,206.9,0.7,<1,<0.5,<0.1,16.4,<1,6.9,3.9,0.4,19.9,7.2,9.8,107.6,34,73.9,8.4,28.8,4.8,1.2,3.6,0.4,2,0.3,0.8,0.1,0.8,0.1,0.9,ALK,Rhyodacite ,63.3
TI1047,70.12,0.187,16.06,1.24,0.02,0.67,2.48,6.18,1.2,0.074,<0.002,0.16,<0.02,1.7,99.95,343,1.7,2.2,34,<0.1,<0.5,1.8,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,19,3.3,4.2,2,23.4,262.9,0.7,<1,<0.5,<0.1,20.3,1,0.6,2.5,0.2,1.1,2.2,3.2,72.9,5.7,14.6,1.7,7.8,1.6,0.4,1.2,0.1,0.7,0.1,0.3,0,0.3,0,0.8,ALK,Rhyodacite ,37.9
AN3-62 138.5M,69.18,0.179,15.23,1.45,0.02,0.6,1.49,8.66,0.26,0.19,0.002,0.52,0.54,2.6,99.88,309,6,3,10,<0.1,194.5,1,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,<8,2.9,2.5,2,3,623,<0.1,<1,7.4,0.3,18.8,<1,1.1,3.3,<0.1,2.3,1.5,2.2,83.7,10.4,25.1,3.07,13.7,2.41,0.64,1.34,0.15,0.58,0.07,0.19,0.02,0.16,0.02,,ALK,Rhyodacite ,18.8
