SampleID,SourceID,ProjectID,LGC
04ASP021,asd,mrd,FALSE
04ASP049,asd,mrd,FALSE
04ASP076,asd,mrd,FALSE
04ASP079,asd,mrd,FALSE
04ASP123,asd,mrd,FALSE
04ASP202,asd,mrd,FALSE
04ASP205,asd,mrd,FALSE
04ASP210,asd,mrd,FALSE
04ASP211,asd,mrd,FALSE
04ASP223,asd,mrd,FALSE
71C316,asd,mrd,FALSE
71C385,asd,mrd,FALSE
71C394,asd,mrd,FALSE
71C414,asd,mrd,FALSE
71C674,asd,mrd,FALSE
71J290,asd,mrd,FALSE
71J301,asd,mrd,FALSE
71J304,asd,mrd,FALSE
71J328,asd,mrd,FALSE
71J353,asd,mrd,FALSE
71J361,asd,mrd,FALSE
71J365,asd,mrd,FALSE
71J398,asd,mrd,FALSE
71J399,asd,mrd,FALSE
71J470,asd,mrd,FALSE
71J472,asd,mrd,FALSE
71J474,asd,mrd,FALSE
71J488,asd,mrd,FALSE
71J494,asd,mrd,FALSE
71J534,asd,mrd,FALSE
71J553,asd,mrd,FALSE
71J642,asd,mrd,FALSE
71J651,asd,mrd,FALSE
71J669,asd,mrd,FALSE
71J673,asd,mrd,FALSE
71J699,asd,mrd,FALSE
71J700,asd,mrd,FALSE
73J1802,asd,mrd,FALSE
73S1039,asd,mrd,FALSE
74F1003,asd,mrd,FALSE
74F1031,asd,mrd,FALSE
74F1133,asd,mrd,FALSE
74F1138_fresh,asd,mrd,FALSE
74F1138_weathered,asd,mrd,FALSE
74F1148,asd,mrd,FALSE
74F1152,asd,mrd,FALSE
74F148,asd,mrd,FALSE
74F157,asd,mrd,FALSE
74F160,asd,mrd,FALSE
74F162,asd,mrd,FALSE
74F170,asd,mrd,FALSE
74F171,asd,mrd,FALSE
74F174,asd,mrd,FALSE
74F175,asd,mrd,FALSE
74F178,asd,mrd,FALSE
74F179,asd,mrd,FALSE
74F181,asd,mrd,FALSE
74F182,asd,mrd,FALSE
74F183,asd,mrd,FALSE
74F185,asd,mrd,FALSE
74F186,asd,mrd,FALSE
74F187,asd,mrd,FALSE
74F193,asd,mrd,FALSE
74F194,asd,mrd,FALSE
74F195,asd,mrd,FALSE
74F197,asd,mrd,FALSE
74F198,asd,mrd,FALSE
74F199,asd,mrd,FALSE
74F200,asd,mrd,FALSE
74F201,asd,mrd,FALSE
74F202,asd,mrd,FALSE
74F205,asd,mrd,FALSE
74F207_clst,asd,mrd,FALSE
74F207_mtx,asd,mrd,FALSE
74F210,asd,mrd,FALSE
74F212,asd,mrd,FALSE
74F214,asd,mrd,FALSE
74F218,asd,mrd,FALSE
74F226,asd,mrd,FALSE
74F229,asd,mrd,FALSE
74F230,asd,mrd,FALSE
74F233,asd,mrd,FALSE
74F237,asd,mrd,FALSE
74F347,asd,mrd,FALSE
74F368,asd,mrd,FALSE
74F369,asd,mrd,FALSE
74F380,asd,mrd,FALSE
74F381,asd,mrd,FALSE
74F383_1,asd,mrd,FALSE
74F383_2,asd,mrd,FALSE
74F389,asd,mrd,FALSE
74F393,asd,mrd,FALSE
74F429_1,asd,mrd,FALSE
74F429_2,asd,mrd,FALSE
74F452,asd,mrd,FALSE
74F453,asd,mrd,FALSE
74F471,asd,mrd,FALSE
74F478,asd,mrd,FALSE
