Wavelength_(nm),000001:BR001A,000002:BR001B,000003:BR002A,000004:BR002B,000005:BR003A,000006:BR003B,000007:BR004A,000008:BR004B,000009:BR005A,000010:BR005B,000011:BR006A,000012:BR006B,000013:BR007A,000014:BR007B,000015:BR008A,000016:BR008B,000017:BR009A,000018:BR009B,000019:BR010A,000020:BR010B,000021:BR011A,000022:BR011B,000023:BR012A,000024:BR012B,000025:BR013A,000026:BR013B,000027:BR014A,000028:BR014B,000029:BR015A,000030:BR015B,000031:BR016A,000032:BR016B,000033:BR017A,000034:BR017B,000035:BR018A,000036:BR018B,000037:BR019A,000038:BR019B,000039:BR020A,000040:BR020B,000041:BR021A,000042:BR021B,000043:BR022A,000044:BR022B,000045:BR023A,000046:BR023B
1300.000000,0.230100,0.208350,0.229350,0.189550,0.184550,0.188850,0.168700,0.173050,0.188650,0.181900,0.193100,0.214750,0.150350,0.150650,0.258550,0.274300,0.208200,0.217650,0.170150,0.177450,0.245350,0.206200,0.217200,0.229500,0.233900,0.251950,0.201900,0.217100,0.210400,0.185150,0.268000,0.272350,0.168300,0.184000,0.219400,0.233350,0.245300,0.194000,0.351700,0.267650,0.226500,0.175900,0.148200,0.156050,0.187850,0.200050
1302.000000,0.230250,0.208500,0.229700,0.189850,0.184950,0.188850,0.168750,0.172800,0.188400,0.182050,0.193700,0.214400,0.150400,0.150500,0.258400,0.273950,0.208450,0.217800,0.170250,0.177200,0.245350,0.206600,0.217600,0.229200,0.234500,0.251450,0.201900,0.217500,0.210600,0.185050,0.267600,0.272000,0.168050,0.183450,0.220000,0.232950,0.245100,0.193350,0.351600,0.268200,0.226800,0.175550,0.148250,0.156200,0.187650,0.199650
1304.000000,0.230500,0.208600,0.230200,0.190200,0.185600,0.189050,0.168900,0.172850,0.188600,0.181900,0.194000,0.214500,0.150500,0.150500,0.258500,0.274100,0.208500,0.218100,0.170050,0.177150,0.245150,0.206750,0.217900,0.229250,0.234450,0.251050,0.201950,0.217800,0.210450,0.184800,0.267650,0.271600,0.167900,0.182550,0.220050,0.233250,0.244700,0.193150,0.351950,0.268250,0.226750,0.175750,0.148150,0.156200,0.187800,0.199600
1306.000000,0.230700,0.208950,0.230800,0.190450,0.186050,0.189350,0.169000,0.173350,0.188950,0.181950,0.193750,0.215100,0.150600,0.150500,0.258200,0.273950,0.208750,0.218450,0.170150,0.177500,0.245850,0.206850,0.218200,0.229300,0.234600,0.251100,0.201850,0.217900,0.210500,0.184800,0.268250,0.271600,0.168000,0.182000,0.220200,0.233550,0.244850,0.193550,0.352750,0.268750,0.226750,0.176150,0.148100,0.156250,0.187750,0.199650
1308.000000,0.230750,0.209350,0.231250,0.190750,0.186500,0.190050,0.169300,0.174000,0.189250,0.182200,0.193850,0.215500,0.150400,0.150800,0.257950,0.274300,0.209050,0.218500,0.170700,0.177750,0.246650,0.206750,0.218250,0.229650,0.234700,0.251700,0.201550,0.217600,0.210800,0.185000,0.268550,0.271500,0.168100,0.181900,0.220500,0.233600,0.245350,0.193800,0.353500,0.269350,0.227000,0.176450,0.148350,0.156450,0.187850,0.199550
1310.000000,0.231000,0.209800,0.231450,0.191200,0.187050,0.190700,0.169700,0.174150,0.189400,0.182850,0.193950,0.215550,0.150500,0.151250,0.257850,0.274900,0.209300,0.218700,0.171250,0.178050,0.247200,0.206900,0.217900,0.230400,0.235050,0.252200,0.201950,0.217850,0.211100,0.185600,0.268550,0.271600,0.168500,0.182450,0.220900,0.234100,0.245750,0.194300,0.354000,0.269800,0.227300,0.176700,0.148550,0.156700,0.187950,0.199800
1312.000000,0.230950,0.210300,0.231500,0.191450,0.187650,0.191300,0.169800,0.174300,0.189250,0.183300,0.194150,0.215800,0.150900,0.151400,0.257950,0.275050,0.209350,0.219150,0.171650,0.178200,0.247400,0.207350,0.218100,0.230900,0.235300,0.252850,0.202350,0.217850,0.211350,0.186150,0.268500,0.271700,0.168800,0.183100,0.221300,0.234200,0.246050,0.194500,0.354550,0.270350,0.227500,0.176750,0.148500,0.156800,0.188100,0.199950
1314.000000,0.231050,0.210650,0.231550,0.191750,0.188100,0.191800,0.169650,0.174400,0.189350,0.183500,0.194450,0.215800,0.151250,0.151750,0.258150,0.275150,0.209400,0.219400,0.171650,0.178400,0.247550,0.207950,0.218300,0.231200,0.235700,0.252950,0.202750,0.217950,0.211750,0.186600,0.268500,0.271600,0.168800,0.183300,0.221750,0.234200,0.246300,0.194600,0.354550,0.270650,0.227700,0.176600,0.148600,0.157050,0.188300,0.200000
1316.000000,0.231350,0.210900,0.231800,0.192250,0.188650,0.192200,0.169600,0.174500,0.189950,0.183900,0.194800,0.215950,0.151600,0.151850,0.258150,0.275200,0.209550,0.219850,0.171550,0.178650,0.247750,0.208650,0.218750,0.231400,0.235500,0.252750,0.203200,0.218200,0.212000,0.186450,0.268550,0.271700,0.168950,0.183250,0.222050,0.234450,0.246600,0.194950,0.355000,0.270800,0.228000,0.176600,0.148850,0.157100,0.188500,0.200250
1318.000000,0.231550,0.211100,0.231950,0.192650,0.189100,0.192500,0.169600,0.174750,0.190550,0.184250,0.195050,0.216200,0.151750,0.151850,0.258250,0.275200,0.209700,0.220200,0.171700,0.178850,0.247800,0.209400,0.219200,0.231450,0.235550,0.252750,0.203400,0.218400,0.212350,0.186350,0.268700,0.271850,0.168950,0.183100,0.222300,0.234750,0.246850,0.195400,0.355650,0.271050,0.228150,0.176800,0.149050,0.157250,0.188500,0.200450
