SampleID,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,Total C,Total S,LOI,Sum,Ba,Cu,Pb,Zn,Ag,Au,As,Sb,Bi,Cd,Hg,Tl,Se,V,Ni,Ni,Co,Sc,Rb,Sr,Cs,Sn,W,Mo,Ga,Be,U,Hf,Ta,Th,Nb,Y,Zr,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Wgt,Al2O3/TiO2,Zr/Al2O3,Zr/TiO2,Zr/Y,Zr/Nb,Nb/Y,Th/Yb,(La/Yb)n,(Th/Nb)n,,Affinity,Chemical group,Ishikawa Index,Chlorite Index ,Na2O+CaO,K2O/(K2O+Na2O+CaO),Na2O/(Na2O+K2O),ACN Index,S+C,S/(S+C) (x100),Total BM,Jensen group ,Cat% Al,Cat% Fe+Ti,Cat% Mg,FeO,Cat Al,Cat Fe,Cat Ti,Cat Mg
73J1571,74.24,0.050,14.03,1.55,0.04,0.16,1.45,4.84,1.55,0.048,<0.002,0.19,<0.02,1.9,99.89,475,14.5,2.9,33,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,<8,<20,2.4,1.3,<1,35.3,121.1,0.4,2,<0.5,0.3,18.1,1,0.9,2.4,0.8,3.4,6.4,6.7,46.4,12.7,25.5,2.6,9.9,1.8,0.4,1.4,0.2,1.3,0.2,0.6,0.1,0.6,0.1,0.4,280.6,3.3,928,6.9,7.3,1.0,5.7,15.2,4.5,,ALK,Rhyolite ,21.4,19.7,6.3,19.8,75.7,2.2,0.2,5.0,50.4,,,,,,,,,
97-BRB-563,62.96,0.106,21.65,1.14,<0.01,0.12,0.11,6.77,5.63,0.027,<0.002,0.06,<0.02,1.2,99.75,863,8.2,8.1,9,<0.1,<0.5,<0.5,<0.1,0.1,<0.1,<0.01,<0.1,<0.5,42,<20,0.6,1.1,<1,130.7,687.6,0.3,<1,1.8,0.2,23.8,4,3.4,3.7,0.2,13.8,4.7,4.7,174.0,23.8,44.8,4.3,14.2,1.9,0.5,1.1,0.2,0.7,0.1,0.5,0.1,0.5,0.1,1.0,204.2,8.0,1642,37.0,37.0,1.0,25.6,31.6,,,ALK,Rhyolite ,45.5,14.2,6.9,45.0,54.6,3.1,0.1,14.3,25.3,,,,,,,,,
LKS064,69.31,0.105,15.72,0.99,0.01,0.13,0.74,5.29,6.01,0.073,<0.002,0.15,0.30,1.2,99.56,2033,2.1,11.2,32,<0.1,27.4,1.3,<0.1,<0.1,<0.1,0.01,<0.1,<0.5,10,<20,2.8,2.2,<1,57.7,1461.1,0.5,<1,9.2,1.0,23.4,1,4.4,3.6,0.2,5.6,4.6,4.5,107.4,7.9,22.3,3.1,13.1,2.5,0.7,1.7,0.2,0.8,0.1,0.3,0.1,0.3,0.1,0.3,149.7,6.8,1023,23.9,23.3,1.0,17.0,17.2,10.2,,ALK,Rhyolite ,50.5,11.2,6.0,49.9,46.8,2.6,0.5,66.7,45.3,,,,,,,,,
LKS068,71.20,0.079,14.40,1.38,0.02,0.22,0.56,4.79,5.68,0.019,<0.002,0.19,0.65,1.3,99.64,2254,7.0,41.0,15,1.3,10673.6,<0.5,<0.1,0.2,<0.1,0.15,<0.1,<0.5,<8,<20,2.8,1.9,<1,55.4,574.2,0.4,<1,6.9,9.3,20.0,1,2.3,3.1,0.3,5.1,3.6,5.0,89.4,3.8,12.0,1.8,8.1,1.7,0.4,1.2,0.2,0.9,0.2,0.4,0.1,0.4,0.1,0.3,182.3,6.2,1132,17.9,24.8,0.7,14.6,7.8,11.9,,ALK,Rhyolite ,52.4,14.3,5.4,51.5,45.7,2.7,0.8,77.4,63.0,,,,,,,,,
92J0737,75.99,0.098,13.31,1.86,0.03,0.24,0.95,3.96,2.05,0.033,<0.002,0.15,<0.02,1.4,99.90,355,6.0,3.4,23,<0.1,1.6,<0.5,<0.1,<0.1,0.2,<0.01,<0.1,<0.5,<8,<20,1.1,1.9,2,61.5,48.7,1.5,2,<0.5,0.3,17.6,<1,1.0,3.8,0.6,4.5,4.7,9.2,113.6,18.9,36.6,3.8,12.9,2.2,0.5,1.8,0.3,1.6,0.3,1.0,0.2,1.0,0.2,0.4,135.8,8.5,1159,12.3,24.2,0.5,4.4,13.2,8.0,,ALK,Rhyolite ,31.8,28.0,4.9,29.5,65.9,2.7,0.2,6.3,32.4,,,,,,,,,
KL2036 39FT,69.29,0.182,15.59,1.69,0.04,0.58,1.56,5.31,4.31,0.096,0.003,0.12,0.03,1.0,99.62,1726,2.0,9.9,29,<0.1,1.6,<0.5,<0.1,0.3,<0.1,<0.01,<0.1,<0.5,27,<20,3.2,2.5,2,126.4,1023.9,5.0,<1,1.1,0.2,17.0,3,3.8,4.0,0.5,9.7,7.4,6.6,129.5,29.9,58.2,6.0,21.3,3.4,0.9,2.1,0.3,1.3,0.2,0.5,0.1,0.5,0.1,0.6,85.7,8.3,712,19.6,17.5,1.1,19.8,43.8,11.0,,ALK,Rhyolite ,41.6,23.2,6.9,38.6,55.2,2.3,0.2,20.0,40.9,,,,,,,,,
92J0361,74.55,0.196,14.16,2.35,0.01,0.34,0.29,3.86,2.58,0.039,<0.002,0.05,0.03,1.5,99.84,677,40.0,0.9,13,<0.1,34.4,0.7,<0.1,0.3,<0.1,<0.01,<0.1,<0.5,13,<20,0.9,2.5,5,75.5,50.0,0.8,2,4.0,0.5,17.0,<1,1.4,6.3,0.7,6.1,6.7,16.1,221.0,21.9,49.6,4.8,17.1,3.1,0.6,2.9,0.5,2.6,0.5,1.6,0.3,1.7,0.3,0.4,72.2,15.6,1128,13.7,33.0,0.4,3.6,9.2,7.6,,ALK,Rhyolite ,41.3,36.9,4.2,38.3,59.9,3.4,0.1,37.5,53.9,,,,,,,,,
KL0823 13FT,68.03,0.221,15.62,1.98,0.04,0.61,1.75,5.31,4.46,0.100,0.002,0.22,0.11,1.5,99.65,1456,2.3,7.7,31,<0.1,38.4,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,0.7,16,<20,4.5,3.2,3,116.4,917.7,2.2,<1,2.5,0.2,18.2,3,3.6,5.0,0.4,12.5,7.9,8.1,168.8,41.2,80.4,8.3,30.0,4.5,1.1,2.8,0.4,1.5,0.2,0.7,0.1,0.6,0.1,0.5,70.7,10.8,764,20.8,21.4,1.0,19.5,46.2,13.3,,ALK,Rhyolite ,41.8,24.5,7.1,38.7,54.4,2.2,0.3,33.3,41.0,,,,,,,,,
HD-09-30 15.5M,58.88,0.263,18.52,3.02,0.07,0.92,1.59,5.28,7.26,0.114,0.004,0.51,1.78,3.6,99.51,2023,57.1,15.2,13,0.7,386.4,4.5,0.3,0.1,<0.1,0.04,<0.1,1.5,90,20,11.5,5.8,3,118.5,1136.0,0.7,<1,10.3,24.0,18.8,3,6.3,5.0,0.5,20.3,10.2,16.9,234.0,48.8,105.8,11.3,41.2,6.2,1.6,4.2,0.6,2.8,0.5,1.5,0.3,1.8,0.2,0.4,70.4,12.6,890,13.8,22.9,0.6,11.5,19.9,16.7,,ALK,Rhyolite ,54.4,23.2,6.9,51.4,42.1,2.7,2.3,77.7,85.3,,,,,,,,,
92J0518,72.19,0.193,13.55,2.30,0.05,0.32,1.90,4.17,2.08,0.042,0.003,0.60,0.18,3.1,99.87,480,10.8,10.3,39,1,61.7,0.8,0.7,0.1,0.4,<0.01,<0.1,<0.5,15,<20,0.9,2.1,4,64.3,110.2,0.8,2,2.0,0.7,16.5,1,1.7,5.6,0.7,6.4,7.0,18.9,197.1,24.0,49.9,5.4,18.9,3.6,0.9,3.5,0.6,3.0,0.7,1.9,0.3,1.9,0.3,0.8,70.2,14.5,1021,10.4,28.2,0.4,3.3,8.9,7.7,,ALK,Rhyolite ,28.3,26.9,6.1,25.5,66.7,2.2,0.8,23.1,60.1,,,,,,,,,
KL0629 19FT,65.47,0.214,14.90,2.26,0.05,1.30,2.32,6.05,2.93,0.145,0.008,0.86,0.05,4.0,99.60,2653,2.3,9.2,12,<0.1,<0.5,0.6,0.2,0.1,<0.1,<0.01,<0.1,<0.5,27,<20,9.4,4.3,4,69.1,681.7,2.5,1,<0.5,0.2,17.4,3,3.5,3.9,0.3,6.0,7.3,10.0,124.5,29.5,59.7,7.3,29.1,4.8,1.3,3.3,0.4,2.0,0.3,0.8,0.1,0.8,0.1,0.4,69.6,8.4,582,12.5,17.1,0.7,7.2,25.5,6.9,,ALK,Rhyolite ,33.6,28.2,8.4,25.9,67.4,1.8,0.9,5.5,23.5,,,,,,,,,
92J0586,74.27,0.214,13.45,2.74,0.03,0.22,0.71,4.45,1.88,0.046,<0.002,0.19,0.38,1.9,99.88,381,6.0,2.7,21,0.1,235.3,<0.5,0.2,0.1,<0.1,<0.01,<0.1,<0.5,11,<20,1.1,2.2,4,58.2,80.4,1.1,1,4.6,1.6,15.2,<1,1.4,5.0,0.7,5.7,6.4,17.6,182.5,22.6,46.7,5.0,18.1,3.6,0.8,3.3,0.5,2.9,0.6,1.8,0.3,1.8,0.3,0.3,62.9,13.6,853,10.4,28.5,0.4,3.1,8.9,7.5,,ALK,Rhyolite ,28.9,31.3,5.2,26.7,70.3,2.6,0.6,66.7,29.7,,,,,,,,,
83J0266,70.79,0.202,12.49,4.21,0.06,1.01,7.53,1.45,0.29,0.071,0.005,0.07,0.47,1.8,99.90,46,101.0,3.4,59,0.1,2,0.6,<0.1,<0.1,0.1,<0.01,<0.1,<0.5,19,<20,12.1,9.2,3,6.9,168.1,0.3,2,<0.5,3.4,17.7,<1,0.6,3.6,0.6,2.3,6.4,5.2,129.8,17.1,36.8,3.7,13.3,2.1,0.9,1.6,0.2,1.1,0.2,0.5,0.1,0.5,0.1,0.5,61.8,10.4,643,25.0,20.3,1.2,5.1,27.3,3.0,,ALK,Rhyolite ,12.6,32.8,9.0,3.1,83.3,1.4,0.5,87.0,163.4,,,,,,,,,
92J0526,74.14,0.238,13.83,2.02,0.03,0.28,0.81,5.34,1.50,0.063,<0.002,0.17,0.33,1.6,99.88,348,3.0,4.2,10,0.4,642.2,<0.5,0.4,0.1,<0.1,<0.01,<0.1,<0.5,13,<20,1.2,1.5,5,42.6,94.3,0.6,2,9.9,0.6,15.1,<1,1.7,6.1,0.8,7.0,6.9,21.9,204.6,25.6,52.5,5.9,21.5,4.0,0.9,3.9,0.6,3.7,0.8,2.2,0.3,2.2,0.4,0.7,58.1,14.8,860,9.3,29.7,0.3,3.2,8.3,8.5,,ALK,Rhyolite ,22.4,22.7,6.2,19.6,78.1,2.2,0.5,66.0,17.2,,,,,,,,,
