LithoID,SampleID,Isdrillhol,SiO2_4AES_,TiO2_4AES_,Al2O3_4AES,Fe2O3_4AES,MnO_4AES_p,MgO_4AES_p,CaO_4AES_p,Na2O_4AES_,K2O_4AES_p,P2O5_4AES_,Cr2O3_4AES,TOT_C_4AES,TOT_S_4AES,LOI_4AES_p,Sum_4AES_p,Ba_4AES_pp,Cu_1DXMS_p,Pb_1DXMS_p,Zn_1DXMS_p,Ag_1DXMS_p,Au_1DXMS_p,As_1DXMS_p,Sb_1DXMS_p,Bi_1DXMS_p,Cd_1DXMS_p,Hg_1DXMS_p,Tl_1DXMS_p,Se_1DXMS_p,V_4AES_ppm,Ni_4AES_pp,Ni_1DXMS_p,Co_4AES_pp,Sc_4AES_pp,Rb_4AES_pp,Sr_4AES_pp,Cs_4AES_pp,Sn_4AES_pp,W_4AES_ppm,Mo_1DXMS_p,Ga_4AES_pp,Be_4AES_pp,U_4AES_ppm,Hf_4AES_pp,Ta_4AES_pp,Th_4AES_pp,Nb_4AES_pp,Y_4AES_ppm,Zr_4AES_pp,La_4AES_pp,Ce_4AES_pp,Pr_4AES_pp,Nd_4AES_pp,Sm_4AES_pp,Eu_4AES_pp,Gd_4AES_pp,Tb_4AES_pp,Dy_4AES_pp,Ho_4AES_pp,Er_4AES_pp,Tm_4AES_pp,Yb_4AES_pp,Lu_4AES_pp,Wgt_4AES_k,LABJOBNO,Cat__Al,Cat__Fe_Ti,Cat__Mg,FeO,Cat_Al,Cat_Fe,Cat_Ti,Cat_Mg,MERGE,MERGE_2
610190,TI0437,N,64.37,0.18,18.67,1.72,0.03,0.95,0.44,6.59,5.68,0.122,<0.002,<0.02,0.04,1.1,99.86,644,31.7,3.6,28,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,28,<20,4.8,4.7,2,117.4,206.9,0.7,<1,<0.5,<0.1,16.4,<1,6.9,3.9,0.4,19.9,7.2,9.8,107.6,34,73.9,8.4,28.8,4.83,1.2,3.58,0.43,2.02,0.33,0.83,0.12,0.81,0.12,0.94,VAN09005164,,,,,,,,,Rhyodacite Porphyry,ALK Rhyodacite Porphyry
610183,TI1047,N,70.12,0.187,16.06,1.24,0.02,0.67,2.48,6.18,1.2,0.074,<0.002,0.16,<0.02,1.7,99.95,343,1.7,2.2,34,<0.1,<0.5,1.8,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,19,<20,3.3,4.2,2,23.4,262.9,0.7,<1,<0.5,<0.1,20.3,1,0.6,2.5,0.2,1.1,2.2,3.2,72.9,5.7,14.6,1.74,7.8,1.57,0.41,1.21,0.14,0.69,0.12,0.3,0.04,0.25,0.03,0.76,VAN09005164,,,,,,,,,Rhyodacite Porphyry,ALK Rhyodacite Porphyry
610148,TI0171,N,69.12,0.181,14.95,1.71,0.03,1.35,3.27,0.7,3.68,0.069,<0.002,0.7,<0.02,4.8,99.87,611,0.9,1.4,25,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,16,<20,2.8,2.7,2,69.2,90.1,0.4,<1,0.9,<0.1,18.3,<1,0.5,2.7,0.3,1.6,3.3,4.1,82.4,10.1,22.6,2.55,9.7,1.8,0.47,1.27,0.17,0.8,0.12,0.32,0.05,0.28,0.05,0.77,VAN09005164,,,,,,,,,Rhyodacite Porphyry,ALK Rhyodacite Porphyry
609884,83J0393,N,67.7,0.214,16.77,2.66,0.04,1.9,0.73,6.24,1.82,0.061,0.002,<0.02,<0.02,1.7,99.85,491,5.9,0.6,35,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,0.6,42,<20,14.6,5,4,38.6,138.7,0.5,<1,<0.5,0.2,19.1,<1,0.3,2.1,<0.1,1,1.5,2.7,79.7,8.6,15.6,1.65,7.2,1.13,0.63,0.92,0.13,0.52,0.1,0.25,0.04,0.19,0.03,1.08,VAN09004086,,,,,,,,,Rhyodacite Porphyry,ALK Rhyodacite Porphyry
610162,TI0478,N,61.79,0.229,16.08,1.57,0.04,1.06,5.48,6.21,1.22,0.08,<0.002,1.45,0.09,6.1,99.88,358,3.5,1.4,37,<0.1,1.4,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,25,<20,7.9,4.6,3,30.8,123.2,0.6,<1,1.2,<0.1,12.2,<1,0.3,1.6,0.2,0.6,2.1,2.3,59.1,4.9,11.2,1.38,5,1.02,0.32,0.73,0.09,0.45,0.07,0.16,0.03,0.18,0.02,0.8,VAN09005164,,,,,,,,,Rhyodacite Porphyry,ALK Rhyodacite Porphyry
610086,TI0121,N,70.3,0.202,14,1.92,0.03,1,3.11,2.96,2.55,0.068,<0.002,0.68,0.2,3.8,99.9,530,2.6,2.2,20,<0.1,20.6,9.9,0.2,<0.1,<0.1,<0.01,<0.1,<0.5,21,<20,9.6,5.1,3,47.7,48.6,0.2,<1,6.9,0.2,19.8,<1,0.6,2.3,<0.1,1.9,1.5,2.9,92.6,8.9,19.1,2.04,8.2,1.49,0.38,1.07,0.14,0.62,0.1,0.29,0.04,0.24,0.04,0.65,VAN09005164,,,,,,,,,Rhyodacite Porphyry,ALK Rhyodacite Porphyry
610395,MT87-12,N,67.26,0.232,15.79,2.19,0.03,1.19,3.03,5.02,1.16,0.067,0.003,0.62,<0.02,4,99.9,259,2.4,0.7,26,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,35,<20,9.4,6.5,4,31.8,220.4,0.5,<1,<0.5,0.1,15.9,1,0.4,2.2,0.2,1.3,1.6,3.1,70.2,5.7,13.1,1.47,6.2,1.1,0.33,0.83,0.11,0.57,0.1,0.28,0.04,0.27,0.04,0.71,VAN09005164,,,,,,,,,Rhyodacite Porphyry,ALK Rhyodacite Porphyry
610155,TI0362,N,69.86,0.232,15.56,2.3,0.03,1.3,3.34,3.96,1.45,0.073,0.011,0.04,<0.02,1.7,99.86,359,9.2,2.1,42,<0.1,1.6,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,27,37,31.1,3.6,4,33.9,296.5,1.1,<1,<0.5,<0.1,19.5,<1,0.6,2.6,0.2,1.1,2.5,4.2,82.8,8,18.5,2.04,7.7,1.42,0.5,1.03,0.15,0.86,0.13,0.36,0.07,0.35,0.05,1.07,VAN09005164,,,,,,,,,Rhyodacite Porphyry,ALK Rhyodacite Porphyry
610085,TI0118,N,69.63,0.221,14.78,1.58,0.02,0.51,3.2,3.43,2.8,0.069,0.003,0.69,0.4,3.7,99.9,521,3.7,3.5,16,<0.1,16.3,24,0.3,<0.1,<0.1,<0.01,<0.1,<0.5,18,28,13.8,4.2,3,68.7,86,0.3,<1,6,<0.1,20.2,<1,0.6,2.6,<0.1,1.9,1.5,3.1,98.2,9.6,20.2,2.12,7.5,1.5,0.42,1.04,0.14,0.58,0.09,0.28,0.04,0.23,0.04,0.61,VAN09005164,,,,,,,,,Rhyodacite Porphyry,ALK Rhyodacite Porphyry
0,KL1798,N,66.89,0.228,15.18,2.03,0.04,1.27,2.06,5.43,2.89,0.132,0.008,0.66,<0.02,3.5,99.64,1911,4.3,6,33,<0.1,0.6,0.8,0.4,<0.1,<0.1,<0.01,<0.1,<0.5,<8,<20,15.3,5.2,4,71.2,663.9,1.7,<1,<0.5,0.1,18,2,2.9,3.6,0.3,5.7,6.8,9.1,119.6,25.6,56.1,6.17,24.6,4.41,1.08,3.04,0.38,1.76,0.3,0.71,0.13,0.7,0.11,0.45,VAN09006313,,,,,,,,,Rhyodacite Porphyry,ALK Rhyodacite Porphyry
